"Date","y","Departures.to.mainland.Greece.1","Departures.to.mainland.Greece.2","Departures.to.mainland.Greece.3","Departures.to.mainland.Greece.4","Departures.to.mainland.Greece.5","Departures.to.mainland.Greece.6","Departures.to.mainland.Greece.7","Arrivals.to.fYRoM.1","Arrivals.to.fYRoM.2","Arrivals.to.fYRoM.3","Arrivals.to.fYRoM.4","Arrivals.to.fYRoM.5","Arrivals.to.fYRoM.6","Arrivals.to.fYRoM.7","Arrivals.to.Serbia.1","Arrivals.to.Serbia.2","Arrivals.to.Serbia.3","Arrivals.to.Serbia.4","Arrivals.to.Serbia.5","Arrivals.to.Serbia.6","Arrivals.to.Serbia.7","Arrivals.to.Croatia.1","Arrivals.to.Croatia.2","Arrivals.to.Croatia.3","Arrivals.to.Croatia.4","Arrivals.to.Croatia.5","Arrivals.to.Croatia.6","Arrivals.to.Croatia.7","Arrivals.to.Slovenia.1","Arrivals.to.Slovenia.2","Arrivals.to.Slovenia.3","Arrivals.to.Slovenia.4","Arrivals.to.Slovenia.5","Arrivals.to.Slovenia.6","Arrivals.to.Slovenia.7"
2015-10-27,9390,2804,8916,6195,6120,6896,9725,8083,5500,7864,7752,9840,9174,8384,4584,5100,8700,9000,8750,8750,6850,4650,8128,10249,11570,8348,6748,7900,6793,8625,9818,9925,9500,9339,12616,7478
2015-10-28,8336,4540,2804,8916,6195,6120,6896,9725,6146,5500,7864,7752,9840,9174,8384,6257,5100,8700,9000,8750,8750,6850,5683,8128,10249,11570,8348,6748,7900,6877,8625,9818,9925,9500,9339,12616
2015-10-29,8473,7191,4540,2804,8916,6195,6120,6896,5000,6146,5500,7864,7752,9840,9174,5415,6257,5100,8700,9000,8750,8750,6900,5683,8128,10249,11570,8348,6748,9848,6877,8625,9818,9925,9500,9339
2015-10-30,8302,8117,7191,4540,2804,8916,6195,6120,7231,5000,6146,5500,7864,7752,9840,6700,5415,6257,5100,8700,9000,8750,6615,6900,5683,8128,10249,11570,8348,5341,9848,6877,8625,9818,9925,9500
2015-10-31,7691,6649,8117,7191,4540,2804,8916,6195,7663,7231,5000,6146,5500,7864,7752,7138,6700,5415,6257,5100,8700,9000,7429,6615,6900,5683,8128,10249,11570,5409,5341,9848,6877,8625,9818,9925
2015-11-01,7887,6537,6649,8117,7191,4540,2804,8916,7590,7663,7231,5000,6146,5500,7864,9834,7138,6700,5415,6257,5100,8700,7110,7429,6615,6900,5683,8128,10249,6344,5409,5341,9848,6877,8625,9818
2015-11-02,8243,7360,6537,6649,8117,7191,4540,2804,8584,7590,7663,7231,5000,6146,5500,8354,9834,7138,6700,5415,6257,5100,8534,7110,7429,6615,6900,5683,8128,7611,6344,5409,5341,9848,6877,8625
2015-11-03,6900,1935,7360,6537,6649,8117,7191,4540,8075,8584,7590,7663,7231,5000,6146,8521,8354,9834,7138,6700,5415,6257,8746,8534,7110,7429,6615,6900,5683,8568,7611,6344,5409,5341,9848,6877
2015-11-04,9930,0,1935,7360,6537,6649,8117,7191,6682,8075,8584,7590,7663,7231,5000,6129,8521,8354,9834,7138,6700,5415,5573,8746,8534,7110,7429,6615,6900,5591,8568,7611,6344,5409,5341,9848
2015-11-05,7478,142,0,1935,7360,6537,6649,8117,6532,6682,8075,8584,7590,7663,7231,4073,6129,8521,8354,9834,7138,6700,7792,5573,8746,8534,7110,7429,6615,7693,5591,8568,7611,6344,5409,5341
