Date,Arrivals to Greek Islands,Departures to mainland Greece,Arrivals to fYRoM,Arrivals to Serbia,Arrivals to Croatia,Arrivals to Hungary,Arrivals to Slovenia,Arrivals to Austria
01/09/15,5392,N/A,2830,2800,N/A,2284,N/A,N/A
02/09/15,2622,N/A,4180,3150,N/A,2061,N/A,N/A
03/09/15,1775,N/A,5245,3150,N/A,3313,N/A,N/A
04/09/15,2265,N/A,3815,4150,N/A,2181,N/A,N/A
05/09/15,5690,N/A,5189,4150,N/A,1002,N/A,N/A
06/09/15,5502,N/A,4902,3150,N/A,2203,N/A,15000
07/09/15,N/A,4200,7049,4290,N/A,2706,N/A,5600
08/09/15,2843,6600,5559,5270,N/A,2770,N/A,7000
09/09/15,5044,10200,5680,4250,N/A,3321,N/A,N/A
10/09/15,5438,4700,7648,8250,N/A,3601,N/A,7500
11/09/15,4953,5890,5853,6250,N/A,3023,N/A,N/A
12/09/15,4576,2100,5360,5710,N/A,4330,N/A,6600
13/09/15,2321,6126,8660,5200,N/A,5809,N/A,10200
14/09/15,2616,3500,4965,6000,N/A,9380,N/A,20000
15/09/15,5479,2400,7020,3850,N/A,366,N/A,1520
16/09/15,4835,4183,4003,3300,1450,277,N/A,120
17/09/15,7397,4964,4326,5450,10400,764,3598,300
18/09/15,5653,6226,4187,4030,6600,7852,N/A,N/A
19/09/15,6894,7107,5118,4450,4700,4914,N/A,13000
20/09/15,6595,4669,6469,5500,4700,6941,N/A,11300
21/09/15,5353,5055,5627,5050,8900,5530,32,9500
22/09/15,4910,6404,5631,4500,8750,5125,0,5570
23/09/15,4832,4960,7152,4750,5223,10046,0,7000
24/09/15,6165,5890,6752,8320,8104,8104,0,7500
25/09/15,3960,3004,4870,5300,7149,8159,0,10700
26/09/15,4774,5897,5523,4600,7986,9472,0,8700
27/09/15,4369,4101,4740,3050,5000,6627,N/A,5000
28/09/15,4237,2714,5391,3450,5800,5335,N/A,3900
29/09/15,4788,4199,5719,3780,4200,6644,0,7000
30/09/15,1674,5665,4442,3850,3369,4256,0,5700
01/10/15,2631,2409,4370,5900,4344,3667,0,4550
02/10/15,4055,1215,5853,3700,5546,4897,0,2700
03/10/15,6097,4480,4202,3700,6086,6056,N/A,7100
04/10/15,4763,1513,5181,4250,5065,5925,0,5800
05/10/15,5909,7833,4282,3250,6338,5952,0,6100
06/10/15,6496,6707,4156,2650,6370,6000,N/A,5800
07/10/15,3734,4886,7816,4350,4446,6103,0,5861
08/10/15,4295,5349,7663,4650,7798,4583,6,4229
09/10/15,5695,2631,6107,6550,8201,7215,0,6700
10/10/15,4045,2214,4922,4850,7896,7907,N/A,5050
11/10/15,4034,4950,5448,5950,5732,7897,N/A,8540
12/10/15,4671,5879,5645,6556,7317,8702,0,8240
13/10/15,6079,4052,4551,5330,5286,7081,0,5280
14/10/15,6380,4564,5073,5280,4814,5157,0,7000
15/10/15,6830,3660,5373,5850,5138,4808,0,5235
16/10/15,8564,6743,6181,5700,5260,6353,0,6500
17/10/15,9063,4239,4988,5250,6415,870,3000,5155
18/10/15,8900,5457,10005,10150,4390,41,2700,1822
19/10/15,8337,4119,4299,4850,4388,22,7677,4300
20/10/15,10006,8083,4584,4650,6793,36,7478,6017
21/10/15,9444,9725,8384,6850,7900,39,12616,4737
22/10/15,7651,6896,9174,8750,6748,32,9339,3767
23/10/15,5762,6120,9840,8750,8348,29,9500,4092
24/10/15,5354,6195,7752,9000,11570,35,9925,5841
25/10/15,4311,8916,7864,8700,10249,34,9818,7882
26/10/15,5049,2804,5500,5100,8128,12,8625,10784
27/10/15,6195,4540,6146,6257,5683,7,6877,9390
28/10/15,6557,7191,5000,5415,6900,4,9848,8336
29/10/15,8847,8117,7231,6700,6615,23,5341,8473
30/10/15,9323,6649,7663,7138,7429,18,5409,8302
31/10/15,8089,6537,7590,9834,7110,10,6344,7691
01/11/15,4400,7360,8584,8354,8534,14,7611,7887
02/11/15,3290,1935,8075,8521,8746,31,8568,8243
03/11/15,4689,0,6682,6129,5573,8,5591,6900
04/11/15,5740,142,6532,4073,7792,10,7693,9930
05/11/15,6679,1430,960,1652,5587,18,5426,7478
06/11/15,6765,8392,1987,1906,2809,4,6655,7315
07/11/15,6022,12116,6847,5397,2000,8,1716,4648
08/11/15,4425,6902,9148,7695,6579,9,4381,3465
09/11/15,3979,8977,11572,9785,6214,25,5341,5962
10/11/15,4842,6133,9305,9107,7474,14,7457,6933
11/11/15,4296,7354,7651,8648,8524,13,7554,8169
12/11/15,3425,3650,8038,7500,9823,23,9681,8777
13/11/15,4909,4820,6826,7464,6314,6,7397,6351
14/11/15,4884,4171,4107,4453,8405,21,7905,7659
15/11/15,4891,4497,7511,7734,8415,8,7300,7632
16/11/15,4873,4442,6557,6267,6490,15,5261,6319
17/11/15,3873,4289,3621,4460,6304,5,7704,7026
18/11/15,4499,4927,5831,4694,5180,15,5998,7577
19/11/15,4737,3644,2816,3765,5167,4,5119,5635
20/11/15,4432,6389,7453,4042,3230,9,5211,5865
21/11/15,2020,2401,5255,4527,3977,2,2952,6836
22/11/15,76,2214,5539,6826,6305,11,5260,5446
23/11/15,409,1245,1113,2201,5184,4,4102,5546
24/11/15,3383,2006,2347,2335,4203,4,6297,6204
25/11/15,4889,3565,1779,1194,1808,6,2070,4122
26/11/15,2973,5435,2617,2636,952,10,1742,2211
27/11/15,1961,2532,2744,2878,3095,2,2065,2120
28/11/15,1420,778,4520,3454,2886,6,3139,3320
29/11/15,4703,3736,1373,3825,3060,3,2843,2407
30/11/15,4744,4090,2270,1009,4009,7,4274,4482
01/12/15,4386,2057,3094,3284,2066,4,1709,2821
02/12/15,3863,4384,3174,4040,1982,4,3077,2874
03/12/15,2671,2255,494,553,4174,9,3237,2935
04/12/15,2435,3844,3436,1927,611,1,1577,3366
05/12/15,2110,3172,4430,3799,1835,31,715,1493
06/12/15,4978,2943,4425,4686,5339,7,4288,1643
07/12/15,5287,2810,3826,4823,4162,0,4240,5035
08/12/15,4721,2189,1508,2437,4335,13,5351,5210
09/12/15,3203,5947,2550,1807,3027,14,4103,4714
10/12/15,3308,3456,2956,3723,2076,3,2078,3623
11/12/15,1999,3079,4047,3747,3149,0,3149,2000
12/12/15,1671,2235,3338,4339,5225,13,4271,3675
13/12/15,1738,1976,2849,2698,3112,10,3016,4754
14/12/15,5005,3138,2644,2353,4174,3,4250,4263
15/12/15,3389,2173,2349,2067,2160,2,2098,4193
16/12/15,4098,3137,3264,2916,3177,6,3214,2519
17/12/15,1402,3967,2801,3438,3192,0,3135,2717
18/12/15,2354,4458,2332,2649,3200,11,3150,3532
19/12/15,2373,1016,3515,3052,3156,31,3222,3305
20/12/15,5223,4070,2338,3405,3276,8,3233,3800
21/12/15,3904,2757,1470,1253,3210,25,3278,3611
22/12/15,3668,2864,2272,2186,2027,1,2118,3451
23/12/15,3354,3278,2529,2415,2116,21,3030,1613
24/12/15,3110,3349,2529,4279,3166,8,2131,2764
25/12/15,3008,3801,3268,3390,3339,2,3257,3321
26/12/15,2710,2498,3521,3757,4241,17,4274,3532
27/12/15,2678,2311,3938,3674,4251,10,3253,3476
28/12/15,3337,1924,2884,3708,3249,0,4228,4394
29/12/15,3643,5309,2577,2629,4253,0,4239,4468
30/12/15,2552,4021,1665,1879,2132,11,3195,4386
